src/services/shopService.ts(577,18): error TS1005: ';' expected.
src/services/shopService.ts(604,26): error TS1005: ':' expected.
src/services/shopService.ts(605,16): error TS1003: Identifier expected.
src/services/shopService.ts(605,33): error TS1005: ':' expected.
src/services/shopService.ts(606,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(606,57): error TS1005: ':' expected.
src/services/shopService.ts(606,58): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(607,17): error TS1003: Identifier expected.
src/services/shopService.ts(607,20): error TS1005: ':' expected.
src/services/shopService.ts(608,23): error TS1003: Identifier expected.
src/services/shopService.ts(608,25): error TS1005: ':' expected.
src/services/shopService.ts(609,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(609,24): error TS1005: ':' expected.
src/services/shopService.ts(611,19): error TS1003: Identifier expected.
src/services/shopService.ts(611,27): error TS1005: ':' expected.
src/services/shopService.ts(611,35): error TS1003: Identifier expected.
src/services/shopService.ts(611,41): error TS1005: ':' expected.
src/services/shopService.ts(611,54): error TS1003: Identifier expected.
src/services/shopService.ts(611,58): error TS1005: ':' expected.
src/services/shopService.ts(611,76): error TS1003: Identifier expected.
src/services/shopService.ts(611,78): error TS1005: ':' expected.
src/services/shopService.ts(611,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(611,99): error TS1005: ':' expected.
src/services/shopService.ts(612,19): error TS1003: Identifier expected.
src/services/shopService.ts(612,27): error TS1005: ':' expected.
src/services/shopService.ts(612,35): error TS1003: Identifier expected.
src/services/shopService.ts(612,41): error TS1005: ':' expected.
src/services/shopService.ts(612,54): error TS1003: Identifier expected.
src/services/shopService.ts(612,58): error TS1005: ':' expected.
src/services/shopService.ts(612,76): error TS1003: Identifier expected.
src/services/shopService.ts(612,78): error TS1005: ':' expected.
src/services/shopService.ts(612,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(612,99): error TS1005: ':' expected.
src/services/shopService.ts(613,19): error TS1003: Identifier expected.
src/services/shopService.ts(613,27): error TS1005: ':' expected.
src/services/shopService.ts(613,35): error TS1003: Identifier expected.
src/services/shopService.ts(613,40): error TS1005: ':' expected.
src/services/shopService.ts(613,53): error TS1003: Identifier expected.
src/services/shopService.ts(613,57): error TS1005: ':' expected.
src/services/shopService.ts(613,75): error TS1003: Identifier expected.
src/services/shopService.ts(613,77): error TS1005: ':' expected.
src/services/shopService.ts(613,93): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(613,98): error TS1005: ':' expected.
src/services/shopService.ts(617,13): error TS1003: Identifier expected.
src/services/shopService.ts(617,22): error TS1005: ':' expected.
src/services/shopService.ts(618,15): error TS1003: Identifier expected.
src/services/shopService.ts(618,34): error TS1005: ':' expected.
src/services/shopService.ts(619,22): error TS1003: Identifier expected.
src/services/shopService.ts(619,130): error TS1005: ':' expected.
src/services/shopService.ts(620,19): error TS1003: Identifier expected.
src/services/shopService.ts(620,26): error TS1005: ':' expected.
src/services/shopService.ts(621,16): error TS1003: Identifier expected.
src/services/shopService.ts(621,25): error TS1005: ':' expected.
src/services/shopService.ts(622,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(622,53): error TS1005: ':' expected.
src/services/shopService.ts(622,54): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(623,17): error TS1003: Identifier expected.
src/services/shopService.ts(623,20): error TS1005: ':' expected.
src/services/shopService.ts(624,23): error TS1003: Identifier expected.
src/services/shopService.ts(624,26): error TS1005: ':' expected.
src/services/shopService.ts(625,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(625,24): error TS1005: ':' expected.
src/services/shopService.ts(627,19): error TS1003: Identifier expected.
src/services/shopService.ts(627,27): error TS1005: ':' expected.
src/services/shopService.ts(627,35): error TS1003: Identifier expected.
src/services/shopService.ts(627,41): error TS1005: ':' expected.
src/services/shopService.ts(627,54): error TS1003: Identifier expected.
src/services/shopService.ts(627,57): error TS1005: ':' expected.
src/services/shopService.ts(627,75): error TS1003: Identifier expected.
src/services/shopService.ts(627,78): error TS1005: ':' expected.
src/services/shopService.ts(627,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(627,99): error TS1005: ':' expected.
src/services/shopService.ts(628,19): error TS1003: Identifier expected.
src/services/shopService.ts(628,27): error TS1005: ':' expected.
src/services/shopService.ts(628,35): error TS1003: Identifier expected.
src/services/shopService.ts(628,41): error TS1005: ':' expected.
src/services/shopService.ts(628,54): error TS1003: Identifier expected.
src/services/shopService.ts(628,58): error TS1005: ':' expected.
src/services/shopService.ts(628,76): error TS1003: Identifier expected.
src/services/shopService.ts(628,78): error TS1005: ':' expected.
src/services/shopService.ts(628,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(628,99): error TS1005: ':' expected.
src/services/shopService.ts(629,19): error TS1003: Identifier expected.
src/services/shopService.ts(629,27): error TS1005: ':' expected.
src/services/shopService.ts(629,35): error TS1003: Identifier expected.
src/services/shopService.ts(629,40): error TS1005: ':' expected.
src/services/shopService.ts(629,53): error TS1003: Identifier expected.
src/services/shopService.ts(629,57): error TS1005: ':' expected.
src/services/shopService.ts(629,75): error TS1003: Identifier expected.
src/services/shopService.ts(629,77): error TS1005: ':' expected.
src/services/shopService.ts(629,93): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(629,98): error TS1005: ':' expected.
src/services/shopService.ts(633,13): error TS1003: Identifier expected.
src/services/shopService.ts(633,22): error TS1005: ':' expected.
src/services/shopService.ts(634,15): error TS1003: Identifier expected.
src/services/shopService.ts(634,35): error TS1005: ':' expected.
src/services/shopService.ts(635,22): error TS1003: Identifier expected.
src/services/shopService.ts(635,127): error TS1005: ':' expected.
src/services/shopService.ts(636,19): error TS1003: Identifier expected.
src/services/shopService.ts(636,26): error TS1005: ':' expected.
src/services/shopService.ts(637,16): error TS1003: Identifier expected.
src/services/shopService.ts(637,22): error TS1005: ':' expected.
src/services/shopService.ts(638,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(638,59): error TS1005: ':' expected.
src/services/shopService.ts(638,60): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(639,17): error TS1003: Identifier expected.
src/services/shopService.ts(639,20): error TS1005: ':' expected.
src/services/shopService.ts(640,23): error TS1003: Identifier expected.
src/services/shopService.ts(640,25): error TS1005: ':' expected.
src/services/shopService.ts(641,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(641,24): error TS1005: ':' expected.
src/services/shopService.ts(643,19): error TS1003: Identifier expected.
src/services/shopService.ts(643,27): error TS1005: ':' expected.
src/services/shopService.ts(643,35): error TS1003: Identifier expected.
src/services/shopService.ts(643,41): error TS1005: ':' expected.
src/services/shopService.ts(643,54): error TS1003: Identifier expected.
src/services/shopService.ts(643,58): error TS1005: ':' expected.
src/services/shopService.ts(643,76): error TS1003: Identifier expected.
src/services/shopService.ts(643,78): error TS1005: ':' expected.
src/services/shopService.ts(643,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(643,99): error TS1005: ':' expected.
src/services/shopService.ts(644,19): error TS1003: Identifier expected.
src/services/shopService.ts(644,27): error TS1005: ':' expected.
src/services/shopService.ts(644,35): error TS1003: Identifier expected.
src/services/shopService.ts(644,41): error TS1005: ':' expected.
src/services/shopService.ts(644,54): error TS1003: Identifier expected.
src/services/shopService.ts(644,58): error TS1005: ':' expected.
src/services/shopService.ts(644,76): error TS1003: Identifier expected.
src/services/shopService.ts(644,78): error TS1005: ':' expected.
src/services/shopService.ts(644,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(644,99): error TS1005: ':' expected.
src/services/shopService.ts(648,13): error TS1003: Identifier expected.
src/services/shopService.ts(648,22): error TS1005: ':' expected.
src/services/shopService.ts(649,15): error TS1003: Identifier expected.
src/services/shopService.ts(649,41): error TS1005: ':' expected.
src/services/shopService.ts(650,22): error TS1003: Identifier expected.
src/services/shopService.ts(650,122): error TS1005: ':' expected.
src/services/shopService.ts(651,19): error TS1003: Identifier expected.
src/services/shopService.ts(651,26): error TS1005: ':' expected.
src/services/shopService.ts(652,16): error TS1003: Identifier expected.
src/services/shopService.ts(652,29): error TS1005: ':' expected.
src/services/shopService.ts(653,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(653,57): error TS1005: ':' expected.
src/services/shopService.ts(653,58): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(654,17): error TS1003: Identifier expected.
src/services/shopService.ts(654,20): error TS1005: ':' expected.
src/services/shopService.ts(655,23): error TS1003: Identifier expected.
src/services/shopService.ts(655,25): error TS1005: ':' expected.
src/services/shopService.ts(656,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(656,24): error TS1005: ':' expected.
src/services/shopService.ts(658,19): error TS1003: Identifier expected.
src/services/shopService.ts(658,27): error TS1005: ':' expected.
src/services/shopService.ts(658,35): error TS1003: Identifier expected.
src/services/shopService.ts(658,41): error TS1005: ':' expected.
src/services/shopService.ts(658,54): error TS1003: Identifier expected.
src/services/shopService.ts(658,57): error TS1005: ':' expected.
src/services/shopService.ts(658,75): error TS1003: Identifier expected.
src/services/shopService.ts(658,77): error TS1005: ':' expected.
src/services/shopService.ts(658,93): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(658,98): error TS1005: ':' expected.
src/services/shopService.ts(659,19): error TS1003: Identifier expected.
src/services/shopService.ts(659,27): error TS1005: ':' expected.
src/services/shopService.ts(659,35): error TS1003: Identifier expected.
src/services/shopService.ts(659,41): error TS1005: ':' expected.
src/services/shopService.ts(659,54): error TS1003: Identifier expected.
src/services/shopService.ts(659,58): error TS1005: ':' expected.
src/services/shopService.ts(659,76): error TS1003: Identifier expected.
src/services/shopService.ts(659,78): error TS1005: ':' expected.
src/services/shopService.ts(659,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(659,99): error TS1005: ':' expected.
src/services/shopService.ts(660,19): error TS1003: Identifier expected.
src/services/shopService.ts(660,27): error TS1005: ':' expected.
src/services/shopService.ts(660,35): error TS1003: Identifier expected.
src/services/shopService.ts(660,40): error TS1005: ':' expected.
src/services/shopService.ts(660,53): error TS1003: Identifier expected.
src/services/shopService.ts(660,57): error TS1005: ':' expected.
src/services/shopService.ts(660,75): error TS1003: Identifier expected.
src/services/shopService.ts(660,77): error TS1005: ':' expected.
src/services/shopService.ts(660,93): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(660,98): error TS1005: ':' expected.
src/services/shopService.ts(664,13): error TS1003: Identifier expected.
src/services/shopService.ts(664,22): error TS1005: ':' expected.
src/services/shopService.ts(665,15): error TS1003: Identifier expected.
src/services/shopService.ts(665,36): error TS1005: ':' expected.
src/services/shopService.ts(666,22): error TS1003: Identifier expected.
src/services/shopService.ts(666,118): error TS1005: ':' expected.
src/services/shopService.ts(667,19): error TS1003: Identifier expected.
src/services/shopService.ts(667,26): error TS1005: ':' expected.
src/services/shopService.ts(668,16): error TS1003: Identifier expected.
src/services/shopService.ts(668,25): error TS1005: ':' expected.
src/services/shopService.ts(669,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(669,57): error TS1005: ':' expected.
src/services/shopService.ts(669,58): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(670,17): error TS1003: Identifier expected.
src/services/shopService.ts(670,20): error TS1005: ':' expected.
src/services/shopService.ts(671,23): error TS1003: Identifier expected.
src/services/shopService.ts(671,25): error TS1005: ':' expected.
src/services/shopService.ts(672,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(672,24): error TS1005: ':' expected.
src/services/shopService.ts(674,19): error TS1003: Identifier expected.
src/services/shopService.ts(674,27): error TS1005: ':' expected.
src/services/shopService.ts(674,35): error TS1003: Identifier expected.
src/services/shopService.ts(674,41): error TS1005: ':' expected.
src/services/shopService.ts(674,54): error TS1003: Identifier expected.
src/services/shopService.ts(674,58): error TS1005: ':' expected.
src/services/shopService.ts(674,76): error TS1003: Identifier expected.
src/services/shopService.ts(674,78): error TS1005: ':' expected.
src/services/shopService.ts(674,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(674,99): error TS1005: ':' expected.
src/services/shopService.ts(675,19): error TS1003: Identifier expected.
src/services/shopService.ts(675,27): error TS1005: ':' expected.
src/services/shopService.ts(675,35): error TS1003: Identifier expected.
src/services/shopService.ts(675,41): error TS1005: ':' expected.
src/services/shopService.ts(675,54): error TS1003: Identifier expected.
src/services/shopService.ts(675,58): error TS1005: ':' expected.
src/services/shopService.ts(675,76): error TS1003: Identifier expected.
src/services/shopService.ts(675,78): error TS1005: ':' expected.
src/services/shopService.ts(675,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(675,99): error TS1005: ':' expected.
src/services/shopService.ts(679,13): error TS1003: Identifier expected.
src/services/shopService.ts(679,22): error TS1005: ':' expected.
src/services/shopService.ts(680,15): error TS1003: Identifier expected.
src/services/shopService.ts(680,39): error TS1005: ':' expected.
src/services/shopService.ts(681,22): error TS1003: Identifier expected.
src/services/shopService.ts(681,126): error TS1005: ':' expected.
src/services/shopService.ts(682,19): error TS1003: Identifier expected.
src/services/shopService.ts(682,26): error TS1005: ':' expected.
src/services/shopService.ts(683,16): error TS1003: Identifier expected.
src/services/shopService.ts(683,21): error TS1005: ':' expected.
src/services/shopService.ts(684,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(684,63): error TS1005: ':' expected.
src/services/shopService.ts(684,64): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(685,17): error TS1003: Identifier expected.
src/services/shopService.ts(685,20): error TS1005: ':' expected.
src/services/shopService.ts(686,23): error TS1003: Identifier expected.
src/services/shopService.ts(686,25): error TS1005: ':' expected.
src/services/shopService.ts(687,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(687,24): error TS1005: ':' expected.
src/services/shopService.ts(689,19): error TS1003: Identifier expected.
src/services/shopService.ts(689,27): error TS1005: ':' expected.
src/services/shopService.ts(689,35): error TS1003: Identifier expected.
src/services/shopService.ts(689,41): error TS1005: ':' expected.
src/services/shopService.ts(689,54): error TS1003: Identifier expected.
src/services/shopService.ts(689,58): error TS1005: ':' expected.
src/services/shopService.ts(689,76): error TS1003: Identifier expected.
src/services/shopService.ts(689,78): error TS1005: ':' expected.
src/services/shopService.ts(689,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(689,99): error TS1005: ':' expected.
src/services/shopService.ts(690,19): error TS1003: Identifier expected.
src/services/shopService.ts(690,27): error TS1005: ':' expected.
src/services/shopService.ts(690,35): error TS1003: Identifier expected.
src/services/shopService.ts(690,41): error TS1005: ':' expected.
src/services/shopService.ts(690,54): error TS1003: Identifier expected.
src/services/shopService.ts(690,58): error TS1005: ':' expected.
src/services/shopService.ts(690,76): error TS1003: Identifier expected.
src/services/shopService.ts(690,78): error TS1005: ':' expected.
src/services/shopService.ts(690,94): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(690,99): error TS1005: ':' expected.
src/services/shopService.ts(695,13): error TS1003: Identifier expected.
src/services/shopService.ts(695,19): error TS1005: ':' expected.
src/services/shopService.ts(696,15): error TS1003: Identifier expected.
src/services/shopService.ts(696,39): error TS1005: ':' expected.
src/services/shopService.ts(697,22): error TS1003: Identifier expected.
src/services/shopService.ts(697,156): error TS1005: ':' expected.
src/services/shopService.ts(698,19): error TS1003: Identifier expected.
src/services/shopService.ts(698,29): error TS1005: ':' expected.
src/services/shopService.ts(699,16): error TS1003: Identifier expected.
src/services/shopService.ts(699,32): error TS1005: ':' expected.
src/services/shopService.ts(700,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(700,59): error TS1005: ':' expected.
src/services/shopService.ts(700,60): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(701,17): error TS1003: Identifier expected.
src/services/shopService.ts(701,20): error TS1005: ':' expected.
src/services/shopService.ts(702,23): error TS1003: Identifier expected.
src/services/shopService.ts(702,25): error TS1005: ':' expected.
src/services/shopService.ts(703,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(703,24): error TS1005: ':' expected.
src/services/shopService.ts(705,19): error TS1003: Identifier expected.
src/services/shopService.ts(705,27): error TS1005: ':' expected.
src/services/shopService.ts(705,35): error TS1003: Identifier expected.
src/services/shopService.ts(705,50): error TS1005: ':' expected.
src/services/shopService.ts(705,63): error TS1003: Identifier expected.
src/services/shopService.ts(705,68): error TS1005: ':' expected.
src/services/shopService.ts(705,86): error TS1003: Identifier expected.
src/services/shopService.ts(705,88): error TS1005: ':' expected.
src/services/shopService.ts(705,104): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(705,109): error TS1005: ':' expected.
src/services/shopService.ts(709,13): error TS1003: Identifier expected.
src/services/shopService.ts(709,19): error TS1005: ':' expected.
src/services/shopService.ts(710,15): error TS1003: Identifier expected.
src/services/shopService.ts(710,39): error TS1005: ':' expected.
src/services/shopService.ts(711,22): error TS1003: Identifier expected.
src/services/shopService.ts(711,142): error TS1005: ':' expected.
src/services/shopService.ts(712,19): error TS1003: Identifier expected.
src/services/shopService.ts(712,29): error TS1005: ':' expected.
src/services/shopService.ts(713,16): error TS1003: Identifier expected.
src/services/shopService.ts(713,28): error TS1005: ':' expected.
src/services/shopService.ts(714,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(714,57): error TS1005: ':' expected.
src/services/shopService.ts(714,58): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(715,17): error TS1003: Identifier expected.
src/services/shopService.ts(715,20): error TS1005: ':' expected.
src/services/shopService.ts(716,23): error TS1003: Identifier expected.
src/services/shopService.ts(716,25): error TS1005: ':' expected.
src/services/shopService.ts(717,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(717,24): error TS1005: ':' expected.
src/services/shopService.ts(719,19): error TS1003: Identifier expected.
src/services/shopService.ts(719,27): error TS1005: ':' expected.
src/services/shopService.ts(719,35): error TS1003: Identifier expected.
src/services/shopService.ts(719,50): error TS1005: ':' expected.
src/services/shopService.ts(719,63): error TS1003: Identifier expected.
src/services/shopService.ts(719,68): error TS1005: ':' expected.
src/services/shopService.ts(719,86): error TS1003: Identifier expected.
src/services/shopService.ts(719,88): error TS1005: ':' expected.
src/services/shopService.ts(719,104): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(719,109): error TS1005: ':' expected.
src/services/shopService.ts(723,13): error TS1003: Identifier expected.
src/services/shopService.ts(723,19): error TS1005: ':' expected.
src/services/shopService.ts(724,15): error TS1003: Identifier expected.
src/services/shopService.ts(724,42): error TS1005: ':' expected.
src/services/shopService.ts(725,22): error TS1003: Identifier expected.
src/services/shopService.ts(725,129): error TS1005: ':' expected.
src/services/shopService.ts(726,19): error TS1003: Identifier expected.
src/services/shopService.ts(726,29): error TS1005: ':' expected.
src/services/shopService.ts(727,16): error TS1003: Identifier expected.
src/services/shopService.ts(727,27): error TS1005: ':' expected.
src/services/shopService.ts(728,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(728,61): error TS1005: ':' expected.
src/services/shopService.ts(728,62): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(729,17): error TS1003: Identifier expected.
src/services/shopService.ts(729,20): error TS1005: ':' expected.
src/services/shopService.ts(730,23): error TS1003: Identifier expected.
src/services/shopService.ts(730,25): error TS1005: ':' expected.
src/services/shopService.ts(731,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(731,24): error TS1005: ':' expected.
src/services/shopService.ts(733,19): error TS1003: Identifier expected.
src/services/shopService.ts(733,27): error TS1005: ':' expected.
src/services/shopService.ts(733,35): error TS1003: Identifier expected.
src/services/shopService.ts(733,50): error TS1005: ':' expected.
src/services/shopService.ts(733,63): error TS1003: Identifier expected.
src/services/shopService.ts(733,67): error TS1005: ':' expected.
src/services/shopService.ts(733,85): error TS1003: Identifier expected.
src/services/shopService.ts(733,87): error TS1005: ':' expected.
src/services/shopService.ts(733,103): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(733,108): error TS1005: ':' expected.
src/services/shopService.ts(737,13): error TS1003: Identifier expected.
src/services/shopService.ts(737,19): error TS1005: ':' expected.
src/services/shopService.ts(738,15): error TS1003: Identifier expected.
src/services/shopService.ts(738,32): error TS1005: ':' expected.
src/services/shopService.ts(739,22): error TS1003: Identifier expected.
src/services/shopService.ts(739,126): error TS1005: ':' expected.
src/services/shopService.ts(740,19): error TS1003: Identifier expected.
src/services/shopService.ts(740,29): error TS1005: ':' expected.
src/services/shopService.ts(741,16): error TS1003: Identifier expected.
src/services/shopService.ts(741,30): error TS1005: ':' expected.
src/services/shopService.ts(742,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(742,59): error TS1005: ':' expected.
src/services/shopService.ts(742,60): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(743,17): error TS1003: Identifier expected.
src/services/shopService.ts(743,20): error TS1005: ':' expected.
src/services/shopService.ts(744,23): error TS1003: Identifier expected.
src/services/shopService.ts(744,25): error TS1005: ':' expected.
src/services/shopService.ts(745,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(745,24): error TS1005: ':' expected.
src/services/shopService.ts(747,19): error TS1003: Identifier expected.
src/services/shopService.ts(747,29): error TS1005: ':' expected.
src/services/shopService.ts(747,37): error TS1003: Identifier expected.
src/services/shopService.ts(747,47): error TS1005: ':' expected.
src/services/shopService.ts(747,60): error TS1003: Identifier expected.
src/services/shopService.ts(747,64): error TS1005: ':' expected.
src/services/shopService.ts(747,82): error TS1003: Identifier expected.
src/services/shopService.ts(747,84): error TS1005: ':' expected.
src/services/shopService.ts(747,100): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(747,105): error TS1005: ':' expected.
src/services/shopService.ts(748,19): error TS1003: Identifier expected.
src/services/shopService.ts(748,29): error TS1005: ':' expected.
src/services/shopService.ts(748,37): error TS1003: Identifier expected.
src/services/shopService.ts(748,48): error TS1005: ':' expected.
src/services/shopService.ts(748,61): error TS1003: Identifier expected.
src/services/shopService.ts(748,65): error TS1005: ':' expected.
src/services/shopService.ts(748,83): error TS1003: Identifier expected.
src/services/shopService.ts(748,85): error TS1005: ':' expected.
src/services/shopService.ts(748,101): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(748,106): error TS1005: ':' expected.
src/services/shopService.ts(752,13): error TS1003: Identifier expected.
src/services/shopService.ts(752,19): error TS1005: ':' expected.
src/services/shopService.ts(753,15): error TS1003: Identifier expected.
src/services/shopService.ts(753,33): error TS1005: ':' expected.
src/services/shopService.ts(754,22): error TS1003: Identifier expected.
src/services/shopService.ts(754,135): error TS1005: ':' expected.
src/services/shopService.ts(755,19): error TS1003: Identifier expected.
src/services/shopService.ts(755,29): error TS1005: ':' expected.
src/services/shopService.ts(756,16): error TS1003: Identifier expected.
src/services/shopService.ts(756,30): error TS1005: ':' expected.
src/services/shopService.ts(757,18): error TS1181: Array element destructuring pattern expected.
src/services/shopService.ts(757,57): error TS1005: ':' expected.
src/services/shopService.ts(757,58): error TS1180: Property destructuring pattern expected.
src/services/shopService.ts(758,17): error TS1003: Identifier expected.
src/services/shopService.ts(758,20): error TS1005: ':' expected.
src/services/shopService.ts(759,23): error TS1003: Identifier expected.
src/services/shopService.ts(759,25): error TS1005: ':' expected.
src/services/shopService.ts(760,20): error TS1359: Identifier expected. 'true' is a reserved word that cannot be used here.
src/services/shopService.ts(760,24): error TS1005: ':' expected.
src/services/shopService.ts(762,19): error TS1003: Identifier expected.
src/services/shopService.ts(762,27): error TS1005: ':' expected.
src/services/shopService.ts(762,35): error TS1003: Identifier expected.
