ID,Category,Topic,Details,Location,Timestamp,Source
RES-20260045,Disease,Kashmir Bee Virus (KBV),Pathogen: Virus. Clinical Signs: Similar to ABPV; highly virulent in presence of mites. Recommended Protocol: Mite control. Risk Level: High.,Kakamega,2026-02-12,BeeYield University Research
RES-20260046,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 82%. Brood viability: 84%. Temperament: Defensive.,Aberdares,2026-02-12,BeeYield University Research
RES-20260047,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 86%. Brood viability: 82%. Temperament: Docile.,Kisumu,2026-02-12,BeeYield University Research
RES-20260048,Genetics,Queen Performance Metric,Lineage: Mombasa-Adaptive. Hygienic score: 88%. Brood viability: 79%. Temperament: Aggressive.,Mombasa,2026-02-12,BeeYield University Research
RES-20260049,Apiary Management,Warre Hive Inspection,Colony Status: Queenless. Queen laying pattern spotty. Stores: 16kg honey. Mite count: 11/100 bees.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260050,Genetics,Queen Performance Metric,Lineage: Coastal Region-Adaptive. Hygienic score: 97%. Brood viability: 78%. Temperament: Defensive.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260051,Disease,Dysentery,Pathogen: Condition (Not specific pathogen). Clinical Signs: Spotting on frames/entrance; swollen abdomens. Recommended Protocol: Feed thick syrup; flight cleansing weather. Risk Level: Medium.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260052,Apiary Management,Langstroth Hive Inspection,Colony Status: Strong. Queen laying pattern drone-layer. Stores: 23kg honey. Mite count: 2/100 bees.,Narok,2026-02-12,BeeYield University Research
RES-20260053,Apiary Management,Top Bar Hive Inspection,Colony Status: Swarming. Queen laying pattern drone-layer. Stores: 22kg honey. Mite count: 7/100 bees.,Kisumu,2026-02-12,BeeYield University Research
RES-20260054,Genetics,Queen Performance Metric,Lineage: Baringo-Adaptive. Hygienic score: 89%. Brood viability: 80%. Temperament: Aggressive.,Baringo,2026-02-12,BeeYield University Research
RES-20260055,Apiary Management,Warre Hive Inspection,Colony Status: Strong. Queen laying pattern solid. Stores: 9kg honey. Mite count: 18/100 bees.,Mombasa,2026-02-12,BeeYield University Research
RES-20260056,Harvesting,Acacia Honey Harvest,Yield: 32.8kg per hive. Moisture content: 21.5%. HMF levels compliant. Extraction method: Drip.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260057,Disease,Nosema Apis,Pathogen: Microsporidian Fungi. Clinical Signs: Faecal streaking on front of hive; crawling bees. Recommended Protocol: Comb replacement; improved ventilation. Risk Level: Medium.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260058,Apiary Management,Warre Hive Inspection,Colony Status: Average. Queen laying pattern solid. Stores: 7kg honey. Mite count: 8/100 bees.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260059,Sustainability,Sustainable Practice Implementation,Selecting for local varroa-resistant genetics.,Baringo,2026-02-12,BeeYield University Research
RES-20260060,Harvesting,Macadamia Honey Harvest,Yield: 21.6kg per hive. Moisture content: 21.8%. HMF levels compliant. Extraction method: Drip.,Aberdares,2026-02-12,BeeYield University Research
RES-20260061,Harvesting,Macadamia Honey Harvest,Yield: 26.0kg per hive. Moisture content: 16.5%. HMF levels compliant. Extraction method: Drip.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260062,Harvesting,Multifloral Honey Harvest,Yield: 55.4kg per hive. Moisture content: 20.3%. HMF levels compliant. Extraction method: Centrifugal.,Makueni,2026-02-12,BeeYield University Research
RES-20260063,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Critical. Queen laying pattern solid. Stores: 30kg honey. Mite count: 22/100 bees.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260064,Apiary Management,Flow Hive Hive Inspection,Colony Status: Weak. Queen laying pattern spotty. Stores: 34kg honey. Mite count: 18/100 bees.,Makueni,2026-02-12,BeeYield University Research
RES-20260065,Harvesting,Lavender Honey Harvest,Yield: 52.6kg per hive. Moisture content: 16.0%. HMF levels compliant. Extraction method: Drip.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260066,Disease,American Foulbrood (AFB),"Pathogen: Paenibacillus larvae. Clinical Signs: Sunken, perforated cappings; ropy slime; foul odor. Recommended Protocol: Burning of infected colonies; Terramycin (preventative). Risk Level: Critical.",Coastal Region,2026-02-12,BeeYield University Research
RES-20260067,Harvesting,Lavender Honey Harvest,Yield: 9.1kg per hive. Moisture content: 17.1%. HMF levels compliant. Extraction method: Crush & Strain.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260068,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 98%. Brood viability: 85%. Temperament: Defensive.,Kisumu,2026-02-12,BeeYield University Research
RES-20260069,Disease,Kashmir Bee Virus (KBV),Pathogen: Virus. Clinical Signs: Similar to ABPV; highly virulent in presence of mites. Recommended Protocol: Mite control. Risk Level: High.,Mombasa,2026-02-12,BeeYield University Research
RES-20260070,Sustainability,Sustainable Practice Implementation,Planting indigenous bee-friendly flora strips (3m width).,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260071,Sustainability,Sustainable Practice Implementation,Selecting for local varroa-resistant genetics.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260072,Harvesting,Eucalyptus Honey Harvest,Yield: 18.2kg per hive. Moisture content: 18.0%. HMF levels compliant. Extraction method: Crush & Strain.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260073,Sustainability,Sustainable Practice Implementation,Selecting for local varroa-resistant genetics.,Kitui,2026-02-12,BeeYield University Research
RES-20260074,Sustainability,Sustainable Practice Implementation,Planting indigenous bee-friendly flora strips (3m width).,Kisumu,2026-02-12,BeeYield University Research
RES-20260075,Genetics,Queen Performance Metric,Lineage: Mombasa-Adaptive. Hygienic score: 85%. Brood viability: 84%. Temperament: Aggressive.,Mombasa,2026-02-12,BeeYield University Research
RES-20260076,Genetics,Queen Performance Metric,Lineage: Makueni-Adaptive. Hygienic score: 77%. Brood viability: 89%. Temperament: Docile.,Makueni,2026-02-12,BeeYield University Research
RES-20260077,Harvesting,Sunflower Honey Harvest,Yield: 14.4kg per hive. Moisture content: 18.5%. HMF levels compliant. Extraction method: Drip.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260078,Sustainability,Sustainable Practice Implementation,Integrated Pest Management (IPM) adopted to reduce chemical load.,Makueni,2026-02-12,BeeYield University Research
RES-20260079,Sustainability,Sustainable Practice Implementation,Minimal intervention beekeeping (MIB) protocols.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260080,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Makueni,2026-02-12,BeeYield University Research
RES-20260081,Harvesting,Orange Blossom Honey Harvest,Yield: 51.2kg per hive. Moisture content: 15.8%. HMF levels compliant. Extraction method: Centrifugal.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260082,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 96%. Brood viability: 93%. Temperament: Aggressive.,Aberdares,2026-02-12,BeeYield University Research
RES-20260083,Sustainability,Sustainable Practice Implementation,Organic certification protocols (3km radius minimal spray).,Makueni,2026-02-12,BeeYield University Research
RES-20260084,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Kisumu,2026-02-12,BeeYield University Research
RES-20260085,Apiary Management,Flow Hive Hive Inspection,Colony Status: Swarming. Queen laying pattern drone-layer. Stores: 27kg honey. Mite count: 11/100 bees.,Aberdares,2026-02-12,BeeYield University Research
RES-20260086,Disease,Tracheal Mite,Pathogen: Acarapis woodi. Clinical Signs: K-wing (disconnected wings); bees unable to fly. Recommended Protocol: Menthol crystals; Formic acid; oil patties. Risk Level: High.,Mombasa,2026-02-12,BeeYield University Research
RES-20260087,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 96%. Brood viability: 81%. Temperament: Aggressive.,Aberdares,2026-02-12,BeeYield University Research
RES-20260088,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260089,Sustainability,Sustainable Practice Implementation,Crop rotation with legumes to boost soil N and nectar.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260090,Sustainability,Sustainable Practice Implementation,Organic certification protocols (3km radius minimal spray).,Kisumu,2026-02-12,BeeYield University Research
RES-20260091,Harvesting,Avocado Honey Harvest,Yield: 8.3kg per hive. Moisture content: 16.3%. HMF levels compliant. Extraction method: Crush & Strain.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260092,Harvesting,Baobab Honey Harvest,Yield: 4.8kg per hive. Moisture content: 16.1%. HMF levels compliant. Extraction method: Centrifugal.,Baringo,2026-02-12,BeeYield University Research
RES-20260093,Disease,Stonebrood,Pathogen: Aspergillus flavus. Clinical Signs: Larvae turn hard and greenish-yellow. Recommended Protocol: Remove infected combs; ensure dry hive conditions. Risk Level: Low.,Kisumu,2026-02-12,BeeYield University Research
RES-20260094,Disease,Acute Bee Paralysis Virus (ABPV),Pathogen: Virus (Varroa-vectored). Clinical Signs: Rapid mortality; often symptomless until collapse. Recommended Protocol: Mite control. Risk Level: High.,Kibwezi,2026-02-12,BeeYield University Research
RES-20260095,Disease,Nosema Apis,Pathogen: Microsporidian Fungi. Clinical Signs: Faecal streaking on front of hive; crawling bees. Recommended Protocol: Comb replacement; improved ventilation. Risk Level: Medium.,Makueni,2026-02-12,BeeYield University Research
RES-20260096,Sustainability,Sustainable Practice Implementation,Crop rotation with legumes to boost soil N and nectar.,Makueni,2026-02-12,BeeYield University Research
RES-20260097,Harvesting,Multifloral Honey Harvest,Yield: 7.5kg per hive. Moisture content: 17.0%. HMF levels compliant. Extraction method: Crush & Strain.,Mombasa,2026-02-12,BeeYield University Research
RES-20260098,Sustainability,Sustainable Practice Implementation,Use of biopesticides during non-foraging hours.,Aberdares,2026-02-12,BeeYield University Research
RES-20260099,Apiary Management,Flow Hive Hive Inspection,Colony Status: Strong. Queen laying pattern solid. Stores: 19kg honey. Mite count: 14/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260100,Harvesting,Sunflower Honey Harvest,Yield: 12.5kg per hive. Moisture content: 21.3%. HMF levels compliant. Extraction method: Drip.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260101,Apiary Management,Traditional Log Hive Inspection,Colony Status: Critical. Queen laying pattern spotty. Stores: 31kg honey. Mite count: 17/100 bees.,Kisumu,2026-02-12,BeeYield University Research
RES-20260102,Genetics,Queen Performance Metric,Lineage: Mombasa-Adaptive. Hygienic score: 97%. Brood viability: 96%. Temperament: Defensive.,Mombasa,2026-02-12,BeeYield University Research
RES-20260103,Genetics,Queen Performance Metric,Lineage: Rift Valley-Adaptive. Hygienic score: 75%. Brood viability: 96%. Temperament: Docile.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260104,Sustainability,Sustainable Practice Implementation,Organic certification protocols (3km radius minimal spray).,Kitui,2026-02-12,BeeYield University Research
RES-20260105,Sustainability,Sustainable Practice Implementation,Using swarm traps to capture local genetics instead of packaged bees.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260106,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Swarming. Queen laying pattern spotty. Stores: 21kg honey. Mite count: 16/100 bees.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260107,Sustainability,Sustainable Practice Implementation,Minimal intervention beekeeping (MIB) protocols.,Kakamega,2026-02-12,BeeYield University Research
RES-20260108,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260109,Sustainability,Sustainable Practice Implementation,Integrated Pest Management (IPM) adopted to reduce chemical load.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260110,Harvesting,Baobab Honey Harvest,Yield: 34.4kg per hive. Moisture content: 19.1%. HMF levels compliant. Extraction method: Crush & Strain.,Mombasa,2026-02-12,BeeYield University Research
RES-20260111,Disease,Israeli Acute Paralysis Virus (IAPV),Pathogen: Virus. Clinical Signs: Shivering wings; progression to paralysis and death. Recommended Protocol: Strengthen immunity via nutrition. Risk Level: High.,Aberdares,2026-02-12,BeeYield University Research
RES-20260112,Apiary Management,Langstroth Hive Inspection,Colony Status: Swarming. Queen laying pattern solid. Stores: 26kg honey. Mite count: 24/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260113,Apiary Management,Traditional Log Hive Inspection,Colony Status: Critical. Queen laying pattern solid. Stores: 14kg honey. Mite count: 11/100 bees.,Aberdares,2026-02-12,BeeYield University Research
RES-20260114,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Critical. Queen laying pattern drone-layer. Stores: 7kg honey. Mite count: 6/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260115,Genetics,Queen Performance Metric,Lineage: Kakamega-Adaptive. Hygienic score: 96%. Brood viability: 96%. Temperament: Docile.,Kakamega,2026-02-12,BeeYield University Research
RES-20260116,Harvesting,Multifloral Honey Harvest,Yield: 24.4kg per hive. Moisture content: 21.8%. HMF levels compliant. Extraction method: Drip.,Makueni,2026-02-12,BeeYield University Research
RES-20260117,Harvesting,Coffee Blossom Honey Harvest,Yield: 56.3kg per hive. Moisture content: 16.7%. HMF levels compliant. Extraction method: Centrifugal.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260118,Disease,Asian Hornet,Pathogen: Vespa velutina. Clinical Signs: Hawking behavior at entrance; pile of dead bees. Recommended Protocol: Trapping; Nest destruction; Electric harps. Risk Level: Critical.,Kitui,2026-02-12,BeeYield University Research
RES-20260119,Harvesting,Canola Honey Harvest,Yield: 9.5kg per hive. Moisture content: 15.6%. HMF levels compliant. Extraction method: Crush & Strain.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260120,Sustainability,Sustainable Practice Implementation,Planting indigenous bee-friendly flora strips (3m width).,Kibwezi,2026-02-12,BeeYield University Research
RES-20260121,Disease,Greater Wax Moth,Pathogen: Galleria mellonella. Clinical Signs: Silk tunnels in comb; destroyed wax; bald brood. Recommended Protocol: Store frames with Para-moth; freeze frames; strong colonies. Risk Level: Medium.,Narok,2026-02-12,BeeYield University Research
RES-20260122,Disease,Pesticide Poisoning,Pathogen: Chemical Toxicity. Clinical Signs: Dead bees with extended tongues (probiscis); spinning. Recommended Protocol: Move hives; feed sugar syrup to dilute toxin. Risk Level: Critical.,Kitui,2026-02-12,BeeYield University Research
RES-20260123,Genetics,Queen Performance Metric,Lineage: Rift Valley-Adaptive. Hygienic score: 84%. Brood viability: 79%. Temperament: Defensive.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260124,Genetics,Queen Performance Metric,Lineage: Aberdares-Adaptive. Hygienic score: 90%. Brood viability: 86%. Temperament: Docile.,Aberdares,2026-02-12,BeeYield University Research
RES-20260125,Sustainability,Sustainable Practice Implementation,Water harvesting for apiary hydration stations.,Kakamega,2026-02-12,BeeYield University Research
RES-20260126,Genetics,Queen Performance Metric,Lineage: Narok-Adaptive. Hygienic score: 76%. Brood viability: 86%. Temperament: Aggressive.,Narok,2026-02-12,BeeYield University Research
RES-20260127,Genetics,Queen Performance Metric,Lineage: Kisumu-Adaptive. Hygienic score: 92%. Brood viability: 94%. Temperament: Defensive.,Kisumu,2026-02-12,BeeYield University Research
RES-20260128,Apiary Management,Traditional Log Hive Inspection,Colony Status: Strong. Queen laying pattern drone-layer. Stores: 2kg honey. Mite count: 4/100 bees.,Narok,2026-02-12,BeeYield University Research
RES-20260129,Apiary Management,Traditional Log Hive Inspection,Colony Status: Swarming. Queen laying pattern drone-layer. Stores: 26kg honey. Mite count: 20/100 bees.,Aberdares,2026-02-12,BeeYield University Research
RES-20260130,Sustainability,Sustainable Practice Implementation,Organic certification protocols (3km radius minimal spray).,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260131,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Narok,2026-02-12,BeeYield University Research
RES-20260132,Sustainability,Sustainable Practice Implementation,Minimal intervention beekeeping (MIB) protocols.,Kitui,2026-02-12,BeeYield University Research
RES-20260133,Disease,Chalkbrood,Pathogen: Ascosphaera apis. Clinical Signs: Hard white/grey mummies in cells/entrance. Recommended Protocol: Increase ventilation; Re-queen with hygienic stock. Risk Level: Low.,Turkana (Arid),2026-02-12,BeeYield University Research
RES-20260134,Apiary Management,Langstroth Hive Inspection,Colony Status: Queenless. Queen laying pattern drone-layer. Stores: 39kg honey. Mite count: 4/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260135,Disease,Powdery Scale (AFB Variant),Pathogen: Paenibacillus larvae (subsp.). Clinical Signs: Hard brittle scale on cell bottom; resistant to removal. Recommended Protocol: Sterilization of frames; antibiotics ineffective. Risk Level: Critical.,Narok,2026-02-12,BeeYield University Research
RES-20260136,Disease,Chalkbrood,Pathogen: Ascosphaera apis. Clinical Signs: Hard white/grey mummies in cells/entrance. Recommended Protocol: Increase ventilation; Re-queen with hygienic stock. Risk Level: Low.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260137,Genetics,Queen Performance Metric,Lineage: Coastal Region-Adaptive. Hygienic score: 99%. Brood viability: 75%. Temperament: Aggressive.,Coastal Region,2026-02-12,BeeYield University Research
RES-20260138,Genetics,Queen Performance Metric,Lineage: Nairobi Peri-Urban-Adaptive. Hygienic score: 79%. Brood viability: 85%. Temperament: Docile.,Nairobi Peri-Urban,2026-02-12,BeeYield University Research
RES-20260139,Disease,Stonebrood,Pathogen: Aspergillus flavus. Clinical Signs: Larvae turn hard and greenish-yellow. Recommended Protocol: Remove infected combs; ensure dry hive conditions. Risk Level: Low.,Kitui,2026-02-12,BeeYield University Research
RES-20260140,Apiary Management,Horizontal Langstroth Hive Inspection,Colony Status: Strong. Queen laying pattern solid. Stores: 24kg honey. Mite count: 25/100 bees.,Rift Valley,2026-02-12,BeeYield University Research
RES-20260141,Harvesting,Multifloral Honey Harvest,Yield: 37.9kg per hive. Moisture content: 16.0%. HMF levels compliant. Extraction method: Drip.,Narok,2026-02-12,BeeYield University Research
RES-20260142,Sustainability,Sustainable Practice Implementation,Solar wax melting to reduce energy consumption.,Kitui,2026-02-12,BeeYield University Research
RES-20260143,Apiary Management,Warre Hive Inspection,Colony Status: Queenless. Queen laying pattern drone-layer. Stores: 39kg honey. Mite count: 2/100 bees.,Narok,2026-02-12,BeeYield University Research
RES-20260144,Sustainability,Sustainable Practice Implementation,Minimal intervention beekeeping (MIB) protocols.,Kitui,2026-02-12,BeeYield University Research
RES-20260145,Disease,Tracheal Mite,Pathogen: Acarapis woodi. Clinical Signs: K-wing (disconnected wings); bees unable to fly. Recommended Protocol: Menthol crystals; Formic acid; oil patties. Risk Level: High.,Kakamega,2026-02-12,BeeYield University Research
RES-20260146,Disease,American Foulbrood (AFB),"Pathogen: Paenibacillus larvae. Clinical Signs: Sunken, perforated cappings; ropy slime; foul odor. Recommended Protocol: Burning of infected colonies; Terramycin (preventative). Risk Level: Critical.",Mombasa,2026-02-12,BeeYield University Research
RES-20260147,Genetics,Queen Performance Metric,Lineage: Mount Kenya-Adaptive. Hygienic score: 84%. Brood viability: 85%. Temperament: Docile.,Mount Kenya,2026-02-12,BeeYield University Research
RES-20260148,Apiary Management,Langstroth Hive Inspection,Colony Status: Average. Queen laying pattern drone-layer. Stores: 8kg honey. Mite count: 19/100 bees.,Baringo,2026-02-12,BeeYield University Research
RES-20260149,Sustainability,Sustainable Practice Implementation,Water harvesting for apiary hydration stations.,Kibwezi,2026-02-12,BeeYield University Research
